 1.64100000e-07 -7.61197377e-07  1.64100000e-07 -7.37504823e-07 
 1.66100000e-07 -7.61197377e-07  1.66100000e-07 -7.37504823e-07 
 1.68100000e-07 -7.61197377e-07  1.68100000e-07 -7.37504823e-07 
 1.70100000e-07 -7.61197377e-07  1.70100000e-07 -7.37504823e-07 
 1.72100000e-07 -7.61197377e-07  1.72100000e-07 -7.37504823e-07 
 1.74100000e-07 -7.61197377e-07  1.74100000e-07 -7.37504823e-07 
 1.76100000e-07 -7.61197377e-07  1.76100000e-07 -7.37504823e-07 
 1.78100000e-07 -7.61197377e-07  1.78100000e-07 -7.37504823e-07 
 1.80100000e-07 -7.61197377e-07  1.80100000e-07 -7.37504823e-07 
 1.82100000e-07 -7.61197377e-07  1.82100000e-07 -7.37504823e-07 
 1.84100000e-07 -7.61197377e-07  1.84100000e-07 -7.37504823e-07 
 1.86100000e-07 -7.61197377e-07  1.86100000e-07 -7.37504823e-07 
 1.88100000e-07 -7.61197377e-07  1.88100000e-07 -7.37504823e-07 
 1.90100000e-07 -7.61197377e-07  1.90100000e-07 -7.37504823e-07 
 1.92100000e-07 -7.61197377e-07  1.92100000e-07 -7.37504823e-07 
 1.94100000e-07 -7.61197377e-07  1.94100000e-07 -7.37504823e-07 
 1.96100000e-07 -7.61197377e-07  1.96100000e-07 -7.37504823e-07 
 1.98000000e-07 -7.61197377e-07  1.98000000e-07 -7.37504823e-07 
 1.98200000e-07 -7.59753757e-07  1.98200000e-07 -7.38719328e-07 
 1.98600000e-07 -7.57105331e-07  1.98600000e-07 -7.41016414e-07 
 1.99300000e-07 -7.52792338e-07  1.99300000e-07 -7.44915733e-07 
 2.00000000e-07 -7.48784650e-07  2.00000000e-07 -7.48786314e-07 
 2.00140000e-07 -7.48781939e-07  2.00140000e-07 -7.48783736e-07 
 2.00420000e-07 -7.48785577e-07  2.00420000e-07 -7.48785577e-07 
 2.00980000e-07 -7.48785577e-07  2.00980000e-07 -7.48785577e-07 
 2.02100000e-07 -7.48785577e-07  2.02100000e-07 -7.48785577e-07 
 2.04100000e-07 -7.48785577e-07  2.04100000e-07 -7.48785577e-07 
 2.06100000e-07 -7.48785577e-07  2.06100000e-07 -7.48785577e-07 
 2.08100000e-07 -7.48785577e-07  2.08100000e-07 -7.48785577e-07 
 2.10100000e-07 -7.48785577e-07  2.10100000e-07 -7.48785577e-07 
 2.12100000e-07 -7.48785577e-07  2.12100000e-07 -7.48785577e-07 
 2.14100000e-07 -7.48785577e-07  2.14100000e-07 -7.48785577e-07 
 2.16100000e-07 -7.48785577e-07  2.16100000e-07 -7.48785577e-07 
 2.18100000e-07 -7.48785577e-07  2.18100000e-07 -7.48785577e-07 
 2.20100000e-07 -7.48785577e-07  2.20100000e-07 -7.48785577e-07 
 2.22100000e-07 -7.48785577e-07  2.22100000e-07 -7.48785577e-07 
 2.24100000e-07 -7.48785577e-07  2.24100000e-07 -7.48785577e-07 
 2.26100000e-07 -7.48785577e-07  2.26100000e-07 -7.48785577e-07 
 2.28100000e-07 -7.48785577e-07  2.28100000e-07 -7.48785577e-07 
 2.30100000e-07 -7.48785577e-07  2.30100000e-07 -7.48785577e-07 
 2.32100000e-07 -7.48785577e-07  2.32100000e-07 -7.48785577e-07 
 2.34100000e-07 -7.48785577e-07  2.34100000e-07 -7.48785577e-07 
 2.36100000e-07 -7.48785577e-07  2.36100000e-07 -7.48785577e-07 
 2.38100000e-07 -7.48785577e-07  2.38100000e-07 -7.48785577e-07 
 2.40100000e-07 -7.48785577e-07  2.40100000e-07 -7.48785577e-07 
 2.42100000e-07 -7.48785577e-07  2.42100000e-07 -7.48785577e-07 
 2.44100000e-07 -7.48785577e-07  2.44100000e-07 -7.48785577e-07 
 2.46100000e-07 -7.48785577e-07  2.46100000e-07 -7.48785577e-07 
 2.48000000e-07 -7.48785577e-07  2.48000000e-07 -7.48785577e-07 
 2.48200000e-07 -7.47667707e-07  2.48200000e-07 -7.49903448e-07 
 2.48600000e-07 -7.45465527e-07  2.48600000e-07 -7.52206230e-07 
 2.49300000e-07 -7.41582095e-07  2.49300000e-07 -7.56463327e-07 
 2.50000000e-07 -7.37507436e-07  2.50000000e-07 -7.61194549e-07 
 2.50140000e-07 -7.37512068e-07  2.50140000e-07 -7.61184304e-07 
 2.50420000e-07 -7.37504834e-07  2.50420000e-07 -7.61197365e-07 
 2.50980000e-07 -7.37504830e-07  2.50980000e-07 -7.61197370e-07 
 2.52100000e-07 -7.37504823e-07  2.52100000e-07 -7.61197377e-07 
 2.54100000e-07 -7.37504823e-07  2.54100000e-07 -7.61197377e-07 
 2.56100000e-07 -7.37504823e-07  2.56100000e-07 -7.61197377e-07 
 2.58100000e-07 -7.37504823e-07  2.58100000e-07 -7.61197377e-07 
 2.60100000e-07 -7.37504823e-07  2.60100000e-07 -7.61197377e-07 
 2.62100000e-07 -7.37504823e-07  2.62100000e-07 -7.61197377e-07 
 2.64100000e-07 -7.37504823e-07  2.64100000e-07 -7.61197377e-07 
